userName,score,at,content,Aspek_Audio_Fitur,Aspek_Performa_Sistem,Aspek_Harga_Layanan,Sentimen,clean_teks
Farell Arrefa Z,3,2026-05-24 19:34:23,"banyak bug, dari lagu yang tiba tiba berhenti sendiri sama tiba tiba ke log out akunnya dari aplikasi di hp, terus malah ga bisa login lagi",1,1,0,0,banyak rusak lagu tiba tiba henti sendiri sama tiba tiba log out akun aplikasi hp terus malah bisa login
Rong Deko,1,2026-05-24 16:38:04,bug can't login everytimee,0,1,0,0,rusak cant login everytimee
kevin net,1,2026-05-24 14:27:28,masih bug kalo login akun apple id,0,1,0,0,rusak kalau login akun apple id
Antonius,1,2026-05-24 13:59:43,"Ngebug jir, masuk premium family. lagu gabisa diputer, alasan ""lagu tidak tersedia untuk negara ini"" padahal region indo. perbaiki pls",1,1,1,0,rusak jir masuk premium family lagu bisa puter alas lagu sedia negara padahal region indo baik
Udin,1,2026-05-24 02:33:38,"bug gabisa login, mental ke pengaturan",0,1,0,0,rusak bisa login mental atur
Herian Solo,2,2026-05-20 21:27:41,suka speed x2 aneh banget,0,0,0,0,suka speed x aneh banget
Bintang Aura,5,2026-05-19 21:19:33,I LIKE EARGASM SM >_<,0,0,0,1,i like eargasm sm
nviii18,1,2026-05-19 00:52:11,aku mau kasih rating 1 dulu dan tolong dibaca ya. aku barusan aktifkan kembali langganan student ku. udah aku bayarkan lewat shopeepay sejumlah 38.000 termasuk biaya admin. kemudian kenapa danaku diambil lagi sebanyak 38.000 padahal aku cuma punya 1 langganan aktif. bukankah seharusnya aku sudah bayar?. tolong respon karena disini aku dirugikan🙏🏻,0,1,1,0,mau kasih rating dulu baca barusan aktif langgan student ku bayar lewat shopeepay jumlah masuk biaya admin kemudian dana ambil banyak padahal saya cuma punya langgan aktif bukankah saya bayar tolong respon sini saya rugi
Kamariah Husni,5,2026-05-18 16:52:54,"Bisa mengibur orang orang yang berada di dalam rumah. sedang sedih& bingung,bimbang",0,0,0,1,mengibur orang orang ada dalam rumah sedang sedih bingungbimbang
Ji Sinping,1,2026-05-18 09:41:38,sangat tidak berguna bagi saya,0,0,0,0,sangat guna saya
Syafa Almir,2,2026-05-17 18:56:25,Ribet daftarnya,0,0,0,0,ribet daftar
Marhasan,5,2026-05-16 21:31:49,suaranya jernih top lah selama pake ini,1,0,0,1,suara jernih top lah lama pake
Ucup Malika,5,2026-05-16 19:43:09,singkat aja lu download ini kalo lu mampu bayar bulanan + ngincer lossles nya doang. selebihnya kurang banget apalagi algoritma nya ampas nyari playlist yang bagus susah pada alay saran kalo emang mau ambil ini harus udah punya playlist sendiri.,1,1,1,1,singkat aja kamu download kalau kamu mampu bayar bulan ngincer lossles nya doang lebih kurang banget algoritma nya jelek nyari playlist bagus susah alay saran kalau emang mau ambil harus punya playlist sendiri
Axl Risky,5,2026-05-16 17:37:16,GOAT,0,0,0,1,goat
Muhammad Arsyad,1,2026-05-16 14:19:38,"bobrok, langganan saya berakhir pada tanggal 28 mei tapi tanggal 16 mei tidak bisa digunakan lagi",0,1,1,0,bobrok langgan akhir tanggal mei tanggal mei bisa guna
Rasheed McBride,5,2026-05-16 11:07:12,baguss bngtt 🥹,0,0,0,1,bagus banget
OKTA AC,5,2026-05-15 21:53:03,"aku yg biasanya download file MP3, dan sekarang malah ganti ke Aplikasi ini, serasa lebih enak lagunya, praktis, tidak mahal juga, mungkin jika dihitung 10 tahu, lumayan banyak juga sih, tapi sepadan dgn fitur dan kualitas musik di aplikasi nya",1,1,1,1,yg biasa download file mp sekarang malah ganti aplikasi serasa lebih enak lagu praktis mahal mungkin hitung tahu lumayan banyak sih padan dgn fitur kualitas musik aplikasi nya
Lenggam Jiwa,3,2026-05-15 14:59:01,"Sebenernya bagus, ga ada keluhan audio, atau apapun yang bersangkutan. TAPI KENAPE AKHIR-AKHIR INI BUG 😭 heran, gabisa play di android (hp), lagu apa aja ga ke play. Giliran ganti device (laptop) malah bisa. Aneh, sinyal sama loh padahal. Pernah sekali ngalamin ini sih, tapi harus uninstall trs login lagi, TAPI MASA IYA DI UNINSTALL TRS TIAP MAU PLAY MPRUY. tolong fix in ya bug nya apple music sayangku separuh nafasku. I love you, sukses selalu❤️",1,1,0,0,sebenernya bagus ada keluh audio apa sangkut kenape akhirakhir rusak heran play android hp lagu apa aja ke play gilir ganti device laptop malah bisa aneh sinyal sama loh padahal pernah sekali ngalamin sih harus uninstall trs login tapi masa iya uninstall trs tiap mau play mpruy fix in rusak nya apple music sayang paruh nafas i love you sukses selalu
Muhamad Irgi,5,2026-05-15 08:07:26,download ni aplikasi cuma buat nonton mayhem requiem doang awoakwowk,1,1,0,1,download ni aplikasi cuma buat nonton mayhem requiem doang awoakwowk
Manusia Manusia,4,2026-05-14 22:11:50,"UI nya bagus banget, apalagi udh support Hi-Res audio. tapi ada kekurangan, yap algoritmanya tolong benerin. Kalau search lagu pasti suka ga ketemu, terus fitur shufflenya juga lagunya cuma itu itu aja",1,1,0,1,ui nya bagus banget sudah support hires audio ada kurang yap algoritmanya benerin kalau search lagu suka ketemu terus fitur shufflenya lagu cuma itu aja
Rayn,1,2026-05-14 22:05:42,udah langganan tpi music ga bisa ke play?? jaringan pdhl bagus aneh,0,0,1,0,langgan tpi music bisa play jaring pdhl bagus aneh
ッJello,5,2026-05-13 02:34:52,"FYI : untuk penggunaan, menurutku lebih baik pake wifi yang stabil soalnya kalo sinyal atau wifi ga stabil sedikit dia bakal skip ke lagu berikutnya kayak otomatis gitu. apalagi kalo kalian aktifin kualitas lossless atau dolby nya nyala, itu bikin appmus nya makin banyak nyedot data yang bisa bikin jaringan ga stabil. saran yah, kalo untuk yang pake data seluler terlebih yang belum 5G, lebih baik pake kualitas paling rendah atau ga ya cara paling terakhir ya mau ga mau download musiknya pke wifi",1,1,0,1,fyi guna turut lebih baik pake wifi stabil soal kalau sinyal wifi stabil sedikit bakal skip lagu ikut kayak otomatis gitu kalau kalian aktifin kualitas lossless dolby nya nyala buat appmus nya makin banyak nyedot data bisa buat jaring stabil saran yah kalau pake data seluler lebih yang belum g lebih baik pake kualitas paling rendah cara paling akhir mau tidak mau download musik pke wifi
Aida,1,2026-05-12 19:02:40,"Sudah membeli musik di iTunes, Apple music di iPhone bisa membaca musik yang dibeli, sedangkan aku sudah ga pakai iPhone, dan saat download Apple Music di sini, semua musik yang telah ku beli tidak terbaca, dan malah harus berlangganan.",1,0,1,0,beli musik itunes apple music iphone baca musik beli saya pakai iphone saat download apple music sini semua musik telah ku beli tidak baca malah langgan
Muhamad Maulana,4,2026-05-10 23:46:32,worst algorithm,0,0,0,1,worst algorithm
Nurul Waqiah,1,2026-05-10 18:42:04,aku mempunyai tagihan dari aplikasi ini padahal aku gak beli apapun gimna sih,0,1,0,0,punya tagih aplikasi padahal tidak beli apa gimna sih
Kikyo Yasaya.,5,2026-05-10 16:43:35,PEAKKKKKKKKK,0,0,0,1,peakkkkkkkkk
M ILham,1,2026-05-10 16:06:28,aplikasi lemot,0,1,0,0,aplikasi lambat
yusuf krisnadi,5,2026-05-09 21:33:39,❤️ lossless..,1,0,0,1,lossless
Bilal Audra Akbar,5,2026-05-09 19:05:32,"Redmi note 7,4gb ram, android 10. still smothh.... gila sih bahkan ringan banget di banding si ijo kikir itu. Good job lahh buat developer nya👍",0,0,0,1,redmi note gb ram android still smothh gila sih bahkan ringan banget banding si ijo pelit good job lahh buat developer nya
Anonim P,5,2026-05-09 16:54:02,"bagus banget,mungkin di algoritma nya kurang,tapi kalo udh ada lagu yang favorit banget ini rekomen sih, walaupun wajib subscribe",1,1,1,1,bagus bangetmungkin algoritma nya kurangtapi kalau ada lagu favorit banget rekomen sih walaupun wajib subscribe
Darwin Adinata,5,2026-05-09 01:10:56,"THE MUSIC QUALITY IS ON TOP, NGL",0,0,0,1,the music quality is on top ngl
Utis Utis,1,2026-05-08 12:53:30,harus nya ga laku aplikasi kaya gini.udah bener syarat nya malah gue di tuduh salah cuihh,1,1,0,0,nya laku aplikasi kaya ginisudah bener syarat nya malah gue tuduh salah cuihh
Helvino Eka satria,5,2026-05-07 13:52:03,"app music paling best,audio nya udah loseless,jernih bgt. tpi kadang di tengah lagu tiba tiba keganti sendiri lagu nya",1,1,0,1,aplikasi music paling bestaudio nya loselessjernih banget tpi kadang tengah lagu tiba tiba ganti sendiri lagu nya
Abdur Ra'uf Al Farras,5,2026-05-06 15:40:26,BEST PLAYER EVER!,0,0,0,1,best player ever
Fikri Fikri,4,2026-05-06 14:05:33,playlist nya mix banget,1,0,0,1,playlist nya mix banget
M.maulana Ardiansyah,5,2026-05-04 00:54:24,losslessnya bagus,1,0,0,1,losslessnya bagus
Zahira Salsabila,1,2026-05-03 11:57:53,tolong kembalikan uang saya. aneh sekali masa sudah terpotong dari saldo saya. saya butuh uang itu walau sedikit🙏🏻 tolong bantu saya refund dana,0,0,1,0,kembali uang aneh sekali masa potong saldo butuh uang walau sedikit bantu saya refund dana
Suherni Tanjung kari,1,2026-05-03 07:11:50,"daftar nya ribet,susah GK masuk²",0,1,0,0,daftar nya ribetsusah gk masuk
Kevin Jevayona,1,2026-05-01 23:01:55,APLIKASI TIDAK JELAS TIDAK BISA MENDAFTARKAN DENGAN ALASAN KATA SANDI DI BACA GAMPANG TOLOL,0,1,0,0,aplikasi jelas bisa daftar alas kata sandi baca gampang bodoh
Edi Saputra,5,2026-04-28 20:47:18,"Animasi album art saat memutar lagu sering buram, tidak jelas.",1,1,0,1,animasi album art putar lagu sering buram jelas
Mizell Afton,1,2026-04-26 02:58:57,loading mulu sampe kiamat,0,1,0,0,loading mulu sampe kiamat
Marcelino,5,2026-04-26 00:25:17,Sangat bagussss,0,0,0,1,sangat bagussss
Chamed Smd,1,2026-04-24 00:41:33,"tiba"" ke potong ashu lah dana ku",0,0,1,0,tiba potong ashu lah dana ku
Anggoro Putro,1,2026-04-19 11:31:17,"Kualitas suara di Android terasa mendem dan volumenya tertahan, padahal aplikasi lain normal. Masalah ini terasa kontras setelah membandingkan dengan layanan musik lain. Mohon optimasi audionya untuk perangkat Android.",1,1,0,0,kualitas suara android asa mendem volume tahan padahal aplikasi normal masalah asa kontras banding layan musik mohon optimasi audio perangkat android
cut tini,1,2026-04-19 11:17:55,ribet,0,0,0,0,ribet
Zahrarohadatul L,1,2026-04-18 21:13:39,"""item ini tidak tersedia di negara anda"" apa maksudnya? tolong segera perbaiki, masa tiba tiba beberapa lagu tidak bisa diputar karena tidak tersedia, tolong lah... di aplikasi lain bisa kok apple music engga?",1,1,1,0,item sedia negara apa maksud segera baik masa tiba tiba beberapa lagu tidak bisa putar tidak sedia lah aplikasi bisa kok apple music engga
Cindy Nindya Stwn,1,2026-04-18 01:34:46,"mau daftar nya pun ribet banget katanya kata sandi terlalu mudah, ya padahal bebas dong mau mudah atau engga yg penting udh pake kta sandi kaya apk apa aja harus banget gtu ngisi kata sandi yg sulit? jelas2 akutuh ngasih kta yg mudah biar gampang diinget. plis lah jangan dibikin ribet nih apk kalo ga niat hapus aja apk nya dah cape cape download dan daftar ujung nya dihapus juga karna daftarnya ribet ga masuk2",0,1,0,0,mau daftar nya ribet banget kata kata sandi terlalu mudah padahal bebas dong mau mudah engga yg penting pake kta sandi kaya aplikasi apa aja banget gtu ngisi kata sandi yg sulit jelas akutuh ngasih kta yg mudah biar gampang diinget lah jangan bikin ribet nih aplikasi kalau niat hapus aja aplikasi nya dah cape cape download daftar ujung nya hapus karena daftar ribet masuk
Sri Wasiah,5,2026-04-17 15:13:01,kapan adain liquid glass ke android aku make android seri yg versi baru seklipun ga dapet,1,0,0,1,kapan adain liquid glass android make android seri yg versi baru seklipun dapet
Sutik,5,2026-04-17 14:45:25,clean ui,1,0,0,1,clean ui
cosplayer_photo cosplayer,1,2026-04-16 18:54:26,"Kecewa, setiap mau keluar family lewat andorid, loadingnya lama, sudah nunggu berjam2x gak ada, waktunya pindah",0,1,0,0,kecewa mau keluar family lewat andorid loadingnya lama nunggu berjamx ada waktu pindah
Trisna Na,1,2026-04-15 20:52:07,banyak maunya,0,0,0,0,banyak mau
Bambang08 Vivo20,5,2026-04-13 09:01:41,semoga makin jaya,0,0,0,1,moga makin jaya
Surya Brata,5,2026-04-13 00:08:37,"Versi 5.2.0 bagus banget lebih jernih, fitur lebih banyak. Ayo jangan mau kalah sama Spotify wkwkkw soalnya udh ada Spotify Premium",1,0,1,1,versi bagus banget lebih jernih fitur lebih banyak ayo jangan mau kalah sama spotify wkwkkw soal ada spotify premium
Stephanus Christian,5,2026-04-12 15:01:30,good,0,0,0,1,good
vyo o,5,2026-04-11 19:03:38,audio berkualitas harga terjangkau,1,0,1,1,audio kualitas harga jangkau
Barqi athalla,5,2026-04-11 14:32:07,Good,0,0,0,1,good
Luki Agustian,5,2026-04-11 12:44:46,"Aplikasinya bagus, lossless, tapi harus berlangganan dulu apple music nya, pokoknya cocok bgt deh",1,1,1,1,aplikasi bagus lossless harus langgan dulu apple music nya pokok cocok banget deh
robby haelim,5,2026-04-10 23:35:48,"bagus banget, harga terjangkau tapi kualitas audio bisa hiress, saran saya tambahin langganan yang langsung bisa 3 bulan",1,0,1,1,bagus banget harga jangkau kualitas audio hiress saran tambahin langgan langsung bulan
Farouk Budi Santoso,4,2026-04-10 13:32:51,"tolong berikan fitur karaoke untuk apple music android, seperti yang ada di apple music device iphone.",0,0,0,1,ikan fitur karaoke apple music android yang di apple music device iphone
didi yusuf Rohimulloh,5,2026-04-10 00:03:55,semoga update berikutnya dibuat full screen di tab android.,0,0,0,1,moga update ikut buat full screen tab android
BANG BEN,1,2026-04-08 10:49:53,masih banyak bug,0,1,0,0,banyak rusak
Rere,5,2026-04-07 09:26:17,"BAGUS BGT ANJIR ASLI, GA BOHONG POKOKNYA HRS DONLOD SIH",0,0,0,1,bagus banget jelek asli bohong pokok hrs donlod sih
Rangga Cahyadi,4,2026-04-06 19:36:43,"Apple music jadi streaming musik utama yang ku pilih personality tapi masih ada beberapa kekurangan dan semoga bisa di update. buat di playlist yang udah lebih dari 1000 suka merefresh sendiri listnya ngemuat dari 100 terus seribu isinya mau pas favoritkan lagu atau scroll ampe bawah dan fitur translate nya belum bisa dari bahasa inggris ke indo cuma bahasa lain ke inggris sisanya nyaman dipake, ringan sama terjangkau 🔥",1,1,1,1,apple music jadi streaming musik utama ku pilih personality masih beberapa kurang moga update buat di playlist sudah lebih suka merefresh sendiri listnya muat terus ribu isi mau pas favorit lagu scroll ampe bawah fitur translate nya bisa bahasa inggris indo cuma bahasa ke inggris sisa nyaman dipake ringan sama jangkau
Bima,5,2026-04-06 12:08:30,cuma 60rb udah Lossless nikmatnya lossless 🤤,1,0,1,1,cuma rb lossless nikmat lossless
Edward Ocsan “Acnos” Rianto,4,2026-04-06 07:20:06,"UI-nya masih tidak kompatibel dengan android, tidak bisa melanjutkan lagu terakhir diputar saat keluar dari aplikasi",1,1,0,1,uinya kompatibel android tidak bisa lanjut lagu akhir putar keluar aplikasi
Nazeila Abel,2,2026-04-05 21:50:54,"entah gua yang kampung apa emang app nya yang agak agak. dengerin musik doang harus bayar dulu, bener bener gabisa denger lagu kalo ga bayar premium. bikin playlist, liat profil artis, milih lagu, semua itu gabisa tanpa premium😔💔",1,1,1,0,entah kampung apa emang aplikasi nya yang agak dengar musik doang bayar dulu bener bener dengar lagu kalau bayar premium buat playlist liat profil artis milih lagu semua tidak bisa tanpa premium
Novan28,5,2026-04-05 18:45:19,W audio quality,1,0,0,1,w audio quality
Alvino Reivanu,1,2026-04-04 22:22:17,"Aplikasinya kalau kita udah selesai habis family plan ngga bisa keluar di andro, dia cuman loading lama doang. aplikasi apaan coba? udah di coba buat hapus cache dan data tetap saja loading buat untuk keluar dari family plan, gajelas.",0,1,0,0,aplikasi kalau selesai habis family plan ngga keluar andro cuma loading lama doang aplikasi apa coba sudah di coba buat hapus cache data tetap loading buat keluar family plan jelas
yaya yuu,5,2026-04-02 17:24:13,bagusss,0,0,0,1,bagusss
San,5,2026-04-02 02:05:07,best platform music,0,0,0,1,best platform music
Naufal,2,2026-03-31 23:23:02,Apple music down?,0,0,0,0,apple music down
Muhammad Rafif,5,2026-03-30 16:22:57,cocok untuk yang sudah beli headset bluetooth hi-fi dengan codec ldac. yang lucunya sih di iPhone nggak support ldac tapi di android bisa dan gratis streaming audio loss less di Apple music kan kocak.,1,0,1,1,cocok beli headset bluetooth hifi codec ldac yang lucu sih iphone support ldac android dan gratis streaming audio loss less di apple music kan kocak
Fau,2,2026-03-29 10:05:15,"Bagus, tapi banyak bug sama sistem terbatas di android. Semua file lagu gw total 100gb ilang entah knp tanpa alasan, padahal ga ganti² region/ga ganti apa².",1,1,1,0,bagus banyak rusak sama sistem batas android semua file lagu total gb hilang entah tanpa alas padahal ganti regiontidak ganti apa
Azx,4,2026-03-28 21:36:03,Tambahin translate woi🤬🤬🤭🤭,0,0,0,1,tambahin translate woi
Ikrima Meilani,5,2026-03-25 21:42:45,mendingan ini dari pada sebelah,0,0,0,1,mending dari belah
Ghazy,5,2026-03-25 14:41:56,"aplikasi nya sudah bagus, tingkatin lagi dong tampilan interface/utama aplikasinya kayak animasi, ikon, dll untuk android khususnya agar semakin nyaman dan enak dilihat.",1,1,0,1,aplikasi nya bagus tingkatin dong tampil interfaceutama aplikasi kayak animasi ikon untuk android khusus makin nyaman enak lihat
Benny Lukito,5,2026-03-25 14:18:20,Sudah menjadi baik.. Mungkin koleksi lagunya lebih dilengkapi,1,1,0,1,jadi baik mungkin koleksi lagu lebih lengkap
Kazuo Preset,1,2026-03-25 07:16:57,"gak bisa bikin akun stak di kode, padahal kode nya sudah sesuai email yang dikirim tapi malah muncul kata sandi terlalu sederhana pas pake kode ngacak muncul terjadi kesalahan",1,0,0,0,bisa buat akun stak kode padahal kode nya sesuai email kirim malah muncul kata sandi terlalu sederhana pas pake kode ngacak muncul jadi salah
Radit 08,3,2026-03-24 22:32:01,tolong perbaiki saat memutar lagu dengan tws sering mati sendiri bluetoothnya!!,1,1,1,0,baik putar lagu tws sering mati sendiri bluetoothnya
