userName,score,at,content
ッJello,5,2026-05-13 02:34:52,"FYI : untuk penggunaan, menurutku lebih baik pake wifi yang stabil soalnya kalo sinyal atau wifi ga stabil sedikit dia bakal skip ke lagu berikutnya kayak otomatis gitu. apalagi kalo kalian aktifin kualitas lossless atau dolby nya nyala, itu bikin appmus nya makin banyak nyedot data yang bisa bikin jaringan ga stabil. saran yah, kalo untuk yang pake data seluler terlebih yang belum 5G, lebih baik pake kualitas paling rendah atau ga ya cara paling terakhir ya mau ga mau download musiknya pke wifi"
Aida,1,2026-05-12 19:02:40,"Sudah membeli musik di iTunes, Apple music di iPhone bisa membaca musik yang dibeli, sedangkan aku sudah ga pakai iPhone, dan saat download Apple Music di sini, semua musik yang telah ku beli tidak terbaca, dan malah harus berlangganan."
Muhamad Maulana,4,2026-05-10 23:46:32,worst algorithm
Nurul Waqiah,1,2026-05-10 18:42:04,aku mempunyai tagihan dari aplikasi ini padahal aku gak beli apapun gimna sih
Kikyo Yasaya.,5,2026-05-10 16:43:35,PEAKKKKKKKKK
M ILham,1,2026-05-10 16:06:28,aplikasi lemot
yusuf krisnadi,5,2026-05-09 21:33:39,❤️ lossless..
Bilal Audra Akbar,5,2026-05-09 19:05:32,"Redmi note 7,4gb ram, android 10. still smothh.... gila sih bahkan ringan banget di banding si ijo kikir itu. Good job lahh buat developer nya👍"
Anonim P,5,2026-05-09 16:54:02,"bagus banget,mungkin di algoritma nya kurang,tapi kalo udh ada lagu yang favorit banget ini rekomen sih, walaupun wajib subscribe"
Darwin Adinata,5,2026-05-09 01:10:56,"THE MUSIC QUALITY IS ON TOP, NGL"
Utis Utis,1,2026-05-08 12:53:30,harus nya ga laku aplikasi kaya gini.udah bener syarat nya malah gue di tuduh salah cuihh
Helvino Eka satria,5,2026-05-07 13:52:03,"app music paling best,audio nya udah loseless,jernih bgt. tpi kadang di tengah lagu tiba tiba keganti sendiri lagu nya"
Abdur Ra'uf Al Farras,5,2026-05-06 15:40:26,BEST PLAYER EVER!
Fikri Fikri,4,2026-05-06 14:05:33,playlist nya mix banget
M.maulana Ardiansyah,5,2026-05-04 00:54:24,losslessnya bagus
Zahira Salsabila,1,2026-05-03 11:57:53,tolong kembalikan uang saya. aneh sekali masa sudah terpotong dari saldo saya. saya butuh uang itu walau sedikit🙏🏻 tolong bantu saya refund dana
Suherni Tanjung kari,1,2026-05-03 07:11:50,"daftar nya ribet,susah GK masuk²"
Kevin Jevayona,1,2026-05-01 23:01:55,APLIKASI TIDAK JELAS TIDAK BISA MENDAFTARKAN DENGAN ALASAN KATA SANDI DI BACA GAMPANG TOLOL
Edi Saputra,5,2026-04-28 20:47:18,"Animasi album art saat memutar lagu sering buram, tidak jelas."
Mizell Afton,1,2026-04-26 02:58:57,loading mulu sampe kiamat
Marcelino,5,2026-04-26 00:25:17,Sangat bagussss
Chamed Smd,1,2026-04-24 00:41:33,"tiba"" ke potong ashu lah dana ku"
Anggoro Putro,1,2026-04-19 11:31:17,"Kualitas suara di Android terasa mendem dan volumenya tertahan, padahal aplikasi lain normal. Masalah ini terasa kontras setelah membandingkan dengan layanan musik lain. Mohon optimasi audionya untuk perangkat Android."
cut tini,1,2026-04-19 11:17:55,ribet
Zahrarohadatul L,1,2026-04-18 21:13:39,"""item ini tidak tersedia di negara anda"" apa maksudnya? tolong segera perbaiki, masa tiba tiba beberapa lagu tidak bisa diputar karena tidak tersedia, tolong lah... di aplikasi lain bisa kok apple music engga?"
Cindy Nindya Stwn,1,2026-04-18 01:34:46,"mau daftar nya pun ribet banget katanya kata sandi terlalu mudah, ya padahal bebas dong mau mudah atau engga yg penting udh pake kta sandi kaya apk apa aja harus banget gtu ngisi kata sandi yg sulit? jelas2 akutuh ngasih kta yg mudah biar gampang diinget. plis lah jangan dibikin ribet nih apk kalo ga niat hapus aja apk nya dah cape cape download dan daftar ujung nya dihapus juga karna daftarnya ribet ga masuk2"
Sri Wasiah,5,2026-04-17 15:13:01,kapan adain liquid glass ke android aku make android seri yg versi baru seklipun ga dapet
Sutik,5,2026-04-17 14:45:25,clean ui
cosplayer_photo cosplayer,1,2026-04-16 18:54:26,"Kecewa, setiap mau keluar family lewat andorid, loadingnya lama, sudah nunggu berjam2x gak ada, waktunya pindah"
Trisna Na,1,2026-04-15 20:52:07,banyak maunya
Bambang08 Vivo20,5,2026-04-13 09:01:41,semoga makin jaya
Surya Brata,5,2026-04-13 00:08:37,"Versi 5.2.0 bagus banget lebih jernih, fitur lebih banyak. Ayo jangan mau kalah sama Spotify wkwkkw soalnya udh ada Spotify Premium"
Stephanus Christian,5,2026-04-12 15:01:30,good
vyo o,5,2026-04-11 19:03:38,audio berkualitas harga terjangkau
Barqi athalla,5,2026-04-11 14:32:07,Good
Luki Agustian,5,2026-04-11 12:44:46,"Aplikasinya bagus, lossless, tapi harus berlangganan dulu apple music nya, pokoknya cocok bgt deh"
robby haelim,5,2026-04-10 23:35:48,"bagus banget, harga terjangkau tapi kualitas audio bisa hiress, saran saya tambahin langganan yang langsung bisa 3 bulan"
Farouk Budi Santoso,4,2026-04-10 13:32:51,"tolong berikan fitur karaoke untuk apple music android, seperti yang ada di apple music device iphone."
didi yusuf Rohimulloh,5,2026-04-10 00:03:55,semoga update berikutnya dibuat full screen di tab android.
BANG BEN,1,2026-04-08 10:49:53,masih banyak bug
Rere,5,2026-04-07 09:26:17,"BAGUS BGT ANJIR ASLI, GA BOHONG POKOKNYA HRS DONLOD SIH"
Rangga Cahyadi,4,2026-04-06 19:36:43,"Apple music jadi streaming musik utama yang ku pilih personality tapi masih ada beberapa kekurangan dan semoga bisa di update. buat di playlist yang udah lebih dari 1000 suka merefresh sendiri listnya ngemuat dari 100 terus seribu isinya mau pas favoritkan lagu atau scroll ampe bawah dan fitur translate nya belum bisa dari bahasa inggris ke indo cuma bahasa lain ke inggris sisanya nyaman dipake, ringan sama terjangkau 🔥"
Bima,5,2026-04-06 12:08:30,cuma 60rb udah Lossless nikmatnya lossless 🤤
Edward Ocsan “Acnos” Rianto,4,2026-04-06 07:20:06,"UI-nya masih tidak kompatibel dengan android, tidak bisa melanjutkan lagu terakhir diputar saat keluar dari aplikasi"
Nazeila Abel,2,2026-04-05 21:50:54,"entah gua yang kampung apa emang app nya yang agak agak. dengerin musik doang harus bayar dulu, bener bener gabisa denger lagu kalo ga bayar premium. bikin playlist, liat profil artis, milih lagu, semua itu gabisa tanpa premium😔💔"
Novan28,5,2026-04-05 18:45:19,W audio quality
Alvino Reivanu,1,2026-04-04 22:22:17,"Aplikasinya kalau kita udah selesai habis family plan ngga bisa keluar di andro, dia cuman loading lama doang. aplikasi apaan coba? udah di coba buat hapus cache dan data tetap saja loading buat untuk keluar dari family plan, gajelas."
yaya yuu,5,2026-04-02 17:24:13,bagusss
San,5,2026-04-02 02:05:07,best platform music
Naufal,2,2026-03-31 23:23:02,Apple music down?
Muhammad Rafif,5,2026-03-30 16:22:57,cocok untuk yang sudah beli headset bluetooth hi-fi dengan codec ldac. yang lucunya sih di iPhone nggak support ldac tapi di android bisa dan gratis streaming audio loss less di Apple music kan kocak.
Fau,2,2026-03-29 10:05:15,"Bagus, tapi banyak bug sama sistem terbatas di android. Semua file lagu gw total 100gb ilang entah knp tanpa alasan, padahal ga ganti² region/ga ganti apa²."
Azx,4,2026-03-28 21:36:03,Tambahin translate woi🤬🤬🤭🤭
Ikrima Meilani,5,2026-03-25 21:42:45,mendingan ini dari pada sebelah
Ghazy,5,2026-03-25 14:41:56,"aplikasi nya sudah bagus, tingkatin lagi dong tampilan interface/utama aplikasinya kayak animasi, ikon, dll untuk android khususnya agar semakin nyaman dan enak dilihat."
Benny Lukito,5,2026-03-25 14:18:20,Sudah menjadi baik.. Mungkin koleksi lagunya lebih dilengkapi
Kazuo Preset,1,2026-03-25 07:16:57,"gak bisa bikin akun stak di kode, padahal kode nya sudah sesuai email yang dikirim tapi malah muncul kata sandi terlalu sederhana pas pake kode ngacak muncul terjadi kesalahan"
Radit 08,3,2026-03-24 22:32:01,tolong perbaiki saat memutar lagu dengan tws sering mati sendiri bluetoothnya!!
Muhammad Andi Alfiansyah,5,2026-03-24 19:08:28,"kenapa sih apple music tuh kek kolot banget? kaya ga pernah ngikutin zaman gitu loh, gua nyri lagu baru nih tapi ni aplikasi tuh malah nunjukin yang lain (gua udah input artis + lagu nya tapi outcome nya malah kek dungu). dan shuffel play nya ga masuk banget ama lagu lagu yang udah gua like or favoritin. minimal kembangin lah masa mau kalah ama spotify?? ya kalo gini terus sih gua mending prem di spotify🤡🤡🤡"
Ahmad Juliansyah,5,2026-03-24 03:34:52,I really like this Apple music
FadhlanCH,5,2026-03-23 11:27:10,"Aplikasi yang lumayan lebih baik daripada Spotify. Ya walaupun harus berlangganan tapi tak apa karena sesuai dengan yang diberikan. Dan harga paketnya masih terbilang murah karena 60rb sudah termasuk semuanya, daripada di aplikasi ijo 60rb malah dapat yg Lite😂 Yang bikin saya kagum disini ada pada liriknya, dimana pemasukan lirik dan waktu muncul untuk suara yang hanya terdengar samar itu paling best👍🏻 ~Fadhlan"
Noradrenaline,5,2026-03-22 21:40:23,bagus+ bisa streaming Lossless
heru atandi,5,2026-03-22 19:27:53,wow sekali
Miyako Bnnuy,3,2026-03-21 20:26:40,"Bagus sih, tapi ada bug yang mengganggu banget. dimulai dari bug loading lama(padahal yang lainnya lancar aja), Playlist nggak bisa dibuka dan muncul ""Jaringan Internet tidak tersedia"" sampai Bug Saat Loading, malah next sendiri(Jujur, ini paling ngeselin). dan dari daftar yang saya tuliskan semoga di notice ya!"
Christtiono 014,3,2026-03-21 06:00:24,banyak iklan
Alpine Sutandi,4,2026-03-21 02:50:17,sound quality is good but the apps still need improvement
Odeg otw,1,2026-03-20 07:49:27,"sdh ikuti aturan nya,masukin akun tapi tetap apk music tdk bisa di buka.mentok di sandi akun iphone"
sen,5,2026-03-19 11:58:46,i need mixing feature
Daffa Lah,3,2026-03-18 22:57:50,"eq nya sering bermasalah dibanding spotify, juga lossless audionya ilang""an"
Charloette Maureen Alsyafa,5,2026-03-18 21:40:26,ILYSM APPMUS THX UDAH LAHIR DI DUNIA INI
Fadlu Faakhir,3,2026-03-17 04:02:54,aku kasih bintang 3 karena aku lupa sandi nya 😭 semoga ada pemulihan akun lewat gmail jadi gabisa denger lagu lagi deh 😔
Wafiq Agus.Tinaa2,1,2026-03-16 16:26:46,aku Udah ga pake iPhone iCloud aku udah aku nonaktifkan aku udah ga pake Apple music tapi tiap bulan suruh bayar 55 ribu rugi
Royani sulistyaning Hanifah,5,2026-03-15 23:35:06,waw
Alice Cristalyjyn,5,2026-03-15 22:23:32,fall in love with this
safrel vaneziano,5,2026-03-15 15:51:56,"bagus banget ga kaya aplikasi ijo yang iklannya sekarang jadi empat, meskipun harganya agak kurang affordable tapi sejauh ini worth it sih karena fiturnya lumayan banyak dan kualitas audio bagus. minusnya sih lagu2nya yang otomatis keputar pas lagu di playlist udah abis tuh lagunya dari lagu artis artis di playlist yang lagunya jarang didengar"
Ahmad Efendi,3,2026-03-15 11:58:35,star free trial mulai April ya
Mahardika juan Mylano,4,2026-03-15 04:16:29,sedikit baik
Ardiansyah Dian,1,2026-03-13 21:14:20,ga jelas njirlah padahal udah du invite tapi ga bisa juga
septy evania p.,1,2026-03-13 19:51:44,"aplikasi gajelas, masa denger musik harus bayar"
Anton R Purnama,4,2026-03-13 09:43:21,sudah oke. sayangnya ada beberapa directory lagu yang tidak ada dalam pencarian
Cathabella Kieberlim,1,2026-03-12 15:24:19,apk gajelas katanya ujicoba satu bulan gratis tapi pas teken ujicoba satu bulan gratis malah harus bayar
via,5,2026-03-12 08:59:55,sukaaa🫶🫶
cool,2,2026-03-12 06:25:53,kurang lengkap lagunya
Bayu Aditya,2,2026-03-10 13:22:36,"ada beberapa bug krusial, diantaranya musik yang dimasukkan ke playlist tidak muncul (di playlist unduhan terutama), album cover fhoto sendiri tidak muncul, dan terkadang beberapa musik tidak bisa diputar"
Brent Imanuel,5,2026-03-09 17:03:54,"Sangat worth it, langganan individual nya juga sudah tergolong murah dengan kualitas yang dikasih, overall puas"
Anawiyah Cantik,1,2026-03-09 02:07:29,"gatau deh, udah seneng2 mau denger lagu, tiba2 malah disuruh bayar..gimana sih? sama pas aku lagi mau masuk akun untuk dengerin musik kpop, malah gak bisa masuk karna akun ada masalah🙄, padahal udh bener sandiny😒"
Frizk Frizk76,2,2026-03-08 00:07:46,ribet
Hay Day,3,2026-03-07 23:28:52,"tolong segera diperbaiki, Penyakit loncat"" lagunya gaenak bet. untuk selebihnya udah bagus. tinggal itu ae"
Lula Laudza,2,2026-03-07 16:41:41,Tiba tiba displaynya hilang jadi gak bisa play musik sama sekali. dari pintasan pun gak bisa. Kalo mau berfungsi normal harus restart hp dulu. Ribet bgt ya ampun padahal aku udh bayar 60.000 sebulan loh ini
Dwi,1,2026-03-07 08:09:23,sorry bintang satu GK semua org bisa bayar ya jujur aku GK suka apk ini
Siti Paujiah,5,2026-03-07 04:21:18,mantap pol aplikasi ini
xcelsean,1,2026-03-06 21:19:07,apa apaan ini jirr mau dengerin lagu aja harus bayar!
Amira Anastasia,3,2026-03-06 13:49:31,FAK SUSAH LOGIN
Agus Dongo,5,2026-03-05 20:40:53,aplikasinya sangat bagus hemat kuota saya suka👍
Dafanur,5,2026-03-04 21:34:54,baguss
Noval Ardiansah,5,2026-03-02 18:49:33,mana tahan liat harga segini udah dapet kualitas audio sebagus ini cik😋
Rizki Permadi,5,2026-03-02 05:03:23,"pindah ke sini gara' Spotify wkwkwk, semoga gak terlalu kikir kyk Spotify"
RafiiA,1,2026-03-01 21:00:34,aplikasi knt0l
Agung Fauzi,3,2026-03-01 18:52:30,"harga dan kualitas bagus. tapi tolong saat cabut headset buatlah pause, atau outputnya ubah ke speaker lah. masa dah cabut headset gada suara kirai udah mati. ternyata masih mutar musik yang outputnya ntah kemana"
zeko,5,2026-03-01 14:18:41,bgus
Naufal Adabi,5,2026-03-01 04:07:26,nicee
Dimas Putra,5,2026-02-28 03:43:25,hi-res lossless is just sooo good
Rayza Valian,2,2026-02-28 01:02:41,"applikasi nya bagus, simple ui nya, cuman suka bug ekualizer"
ahmad osborn,4,2026-02-27 21:11:43,"bagus tpi tidak support DAC dongel, sangat di sayangkan, untuk developer tolong tambahin fitur ekslusif mode ,karna sudah hi ress lossless agar kinerja saat pakai DAC tidak terbawa ke hp teruntuk sistem SRC , agar tidak terpangkas kualitas audionya , sarana saya tambahin fitur ekslusif mode biar support DAC , terimakasih."
Kirana Kirana Grensia Putri,1,2026-02-27 16:24:42,"sorry kasih bintang 1 dlu buat apk ini, awalnya udah excited bgt sampe sampe rela bikin akun buat dengerin lagu, karena katanya bisa didengar pake akun, ehh pas udah dibuat, malah tetap diminta tetap bayar, maksudnya gimana ya? pdhl udah dibikin akun nya tapi masih aja, saya sudah download siapa tau bisa buat saya dengar musik sepuasnya, awalnya dah seneng banget pas mencet lagu, malah minta bayar dulu baru bisa, bisa normal aja ga sih? capek download sana sini sama aja"
Noval Kece,3,2026-02-26 00:25:42,"rajin banget ngasih bug, heran. 1 pilih lagu, yang keluar yang di perpustakaan musik, 2 Hi res nya ilang ilangan sesuai mood aja, 3 download belum kelar, eh dah di bilang kelar, mana nggak bisa di lanjutin lagi, 4 baru ketemu juga, lagu coldplay bermasalah, kadang suaranya kayak speed alien, kadang aman (nggak tau ya di artis lain) . bayak betul bug nya, next bug apalagi yang gw temuin 😂"
Agi,1,2026-02-25 15:15:12,"tws bluetooth always reconnect when playing music, especially when next song play. please fix it on motopad 60 Neo .because on other app has no issue"
Maria Silalahi,4,2026-02-24 19:32:58,"sebenarnya aplikasinya bagus, pilihan lagu lagunya juga termasuk update. sistem putar lagunya kyk di tempat karaoke menurut ku. tinggal cari lagu yg mau di putar lalu masukkan ke daftar putar/antrian. minusnya harus berlangganan baru bisa lagu nya di putar. sad 😥"
M Mahdor Fauzy,5,2026-02-24 18:46:27,banyakin lagi hi-res untuk lagu lagu nya
Kevin Adriano,1,2026-02-24 13:02:12,bagus cuma saya mau nya bintang 1
Nicholas Garcia Hutauruk,5,2026-02-24 00:43:07,"app ini bagus buat dengerin music, karena udah punya juga di iphone cuma itu magian putar musiknya di buat lebih lebar dong screennya kayak di ipad tuhh 😔😔 (device: samsung tab s10 ultra)"
Radityand Febriano putra,1,2026-02-23 21:31:45,semuanya bagus kecuali peralihan antar lagu loadingnya sangat lama sekali..
Leon Kennedy,1,2026-02-23 13:18:49,"daptar akun google udah kayak daptar pekerjaan, udah saya masukin kode Verifikasi nya pas udah di masukin malah ada tulisan ""sarankan sandi kuat"""
Aqila Rakha Musyafa,2,2026-02-20 22:55:29,"masalah login-nya mengganggu sekali. sering banget tiba tiba logout sendiri, giliran mau login eror terus"
kemal Juliana p,2,2026-02-20 02:00:05,nyoba dulu
Danny WePe,1,2026-02-19 05:20:44,di android 16 error mulu heran
Muhammad bagus Setyawannn Bagus M Setyawannn,5,2026-02-16 23:33:54,aplikasi ini cocok untuk mendengarkan musik atau lagu
Muh Nur Alif Hidayatullah saleh,1,2026-02-16 22:09:10,"kualitas lagu bagus,tapi pelayanannya kayak sampah"
嶋野の狂犬,1,2026-02-16 14:19:36,"sampah, sering ngebug + buat akun doang ribet banyakan buffering nya. GK rekomen"
Nime Adamme,5,2026-02-16 11:27:32,bagus
Ruzzuz,5,2026-02-15 22:44:21,"Algoritma yang digunakan sangat bagus, sesuai dengan kebutuhan dan keinginan."
Eko Gaara,5,2026-02-14 00:29:38,mantap aplikasinya
Adaman Chess,5,2026-02-13 11:26:17,kurang sistem untuk follow artis yang kita mau
yazid azizi,2,2026-02-12 17:21:03,"Please fix the shuffle mode in song playback, my playlist has more than 500 songs but every day only a few songs are often heard and the next ones that are played frequently are only the same singer"
Al ma'sum,5,2026-02-11 16:36:12,lovely
Said Name,4,2026-02-11 00:44:02,"bagus, iem saya support hi res lossless tapi masih ada tapinya yaitu algoritma yang nguawor, gua lagu dengar lagi galau tiba² tor monitor ketua😮‍💨"
Pandu PolyAi,5,2026-02-10 07:00:25,absolute Cinema
Ma'mur Zaky Nurrokhman,5,2026-02-09 15:11:57,"Sejauh ini, ini alternatif aplikasi streaming musik terbaik selain Spotify. Dengan harga langganan yang lebih murah dari Spotify, bisa dapat kualitas yang lebih bagus, Lossless dan support Dolby Atmos juga. Kekurangan dari aplikasi ini paling dari segi sosialnya, tidak sesosial Spotify yang bisa connect Instagram dan Discord. Seandainya Apple Music bisa connect Instagram dan Discord pasti lebih bagus lagi."
